sortchem	date	year	site	size_frac_up	include	selection_reason	requested_by	date_same_year
E2023-2001	2023-07-06T00:00:00Z	2023	WE2	0.22	yes	WE2 all timepoints	NA	2000-07-06
E2023-2002	2023-07-06T00:00:00Z	2023	WE4	0.22	no	NA	NA	2000-07-06
E2023-2003	2023-07-06T00:00:00Z	2023	WE9	0.22	no	NA	NA	2000-07-06
E2023-2004	2023-07-06T00:00:00Z	2023	WE12	0.22	no	NA	NA	2000-07-06
E2023-2005	2023-08-09T00:00:00Z	2023	WE2	0.22	yes	WE2 all timepoints,peak bloom 2023, SIP experiment water collection	Anders	2000-08-09
E2023-2006	2023-08-09T00:00:00Z	2023	WE4	0.22	no	NA	NA	2000-08-09
E2023-2007	2023-08-09T00:00:00Z	2023	WE9	0.22	no	NA	NA	2000-08-09
E2023-2008	2023-08-09T00:00:00Z	2023	WE12	0.22	no	NA	NA	2000-08-09
E2023-2009	2023-09-09T00:00:00Z	2023	WE2	0.22	yes	WE2 all timepoints	NA	2000-09-09
E2023-2010	2023-09-09T00:00:00Z	2023	WE4	0.22	no	NA	NA	2000-09-09
E2023-2011	2023-09-09T00:00:00Z	2023	WE9	0.22	no	NA	NA	2000-09-09
E2023-2012	2023-09-09T00:00:00Z	2023	WE12	0.22	no	NA	NA	2000-09-09
E2024-2001	2024-06-28T00:00:00Z	2024	WE2	0.22	yes	WE2 all timepoints	NA	2000-06-28
E2024-2002	2024-06-28T00:00:00Z	2024	WE4	0.22	no	NA	NA	2000-06-28
E2024-2003	2024-06-28T00:00:00Z	2024	WE9	0.22	no	NA	NA	2000-06-28
E2024-2004	2024-06-28T00:00:00Z	2024	WE12	0.22	no	NA	NA	2000-06-28
E2024-2005	2024-07-19T00:00:00Z	2024	WE2	0.22	yes	WE2 all timepoints	NA	2000-07-19
E2024-2006	2024-07-19T00:00:00Z	2024	WE4	0.22	no	NA	NA	2000-07-19
E2024-2007	2024-07-19T00:00:00Z	2024	WE9	0.22	no	NA	NA	2000-07-19
E2024-2008	2024-07-19T00:00:00Z	2024	WE12	0.22	no	NA	NA	2000-07-19
E2024-2009	2024-08-23T00:00:00Z	2024	WE2	0.22	yes	WE2 all timepoints	NA	2000-08-23
E2024-2010	2024-08-23T00:00:00Z	2024	WE4	0.22	yes	peak bloom 2024 (bigger than 2023)	NA	2000-08-23
E2024-2011	2024-08-23T00:00:00Z	2024	WE9	0.22	yes	peak bloom 2024 (bigger than 2023)	NA	2000-08-23
E2024-2012	2024-08-23T00:00:00Z	2024	WE12	0.22	yes	peak bloom 2024 (bigger than 2023)	NA	2000-08-23
E2024-2013	2024-09-20T00:00:00Z	2024	WE2	0.22	yes	WE2 all timepoints	NA	2000-09-20
E2024-2014	2024-09-20T00:00:00Z	2024	WE4	0.22	no	NA	NA	2000-09-20
E2024-2015	2024-09-20T00:00:00Z	2024	WE9	0.22	no	NA	NA	2000-09-20
E2024-2016	2024-09-20T00:00:00Z	2024	WE12	0.22	no	NA	NA	2000-09-20
